ds;y
26/02/2018;16
27/02/2018;6
28/02/2018;18
01/03/2018;11
02/03/2018;30
03/03/2018;44
04/03/2018;6
05/03/2018;12
06/03/2018;10
07/03/2018;18
08/03/2018;18
09/03/2018;32
10/03/2018;40
11/03/2018;15
12/03/2018;18
13/03/2018;19
14/03/2018;9
15/03/2018;12
16/03/2018;42
17/03/2018;36
18/03/2018;19
19/03/2018;6
20/03/2018;11
21/03/2018;10
22/03/2018;19
23/03/2018;41
24/03/2018;34
25/03/2018;8
26/03/2018;13
27/03/2018;15
28/03/2018;12
29/03/2018;18
30/03/2018;32
31/03/2018;39
02/04/2018;17
03/04/2018;12
04/04/2018;11
05/04/2018;7
06/04/2018;31
07/04/2018;36
08/04/2018;19
09/04/2018;6
10/04/2018;20
11/04/2018;12
12/04/2018;18
13/04/2018;44
14/04/2018;30
15/04/2018;7
16/04/2018;19
17/04/2018;11
18/04/2018;19
19/04/2018;20
20/04/2018;31
21/04/2018;44
22/04/2018;43
24/04/2018;42
26/04/2018;11
27/04/2018;44
28/04/2018;45
29/04/2018;17
30/04/2018;36
02/05/2018;15
03/05/2018;8
04/05/2018;34
05/05/2018;32
06/05/2018;9
07/05/2018;13
08/05/2018;13
09/05/2018;7
10/05/2018;19
11/05/2018;41
12/05/2018;36
13/05/2018;15
14/05/2018;20
15/05/2018;16
16/05/2018;9
17/05/2018;5
18/05/2018;38
19/05/2018;39
20/05/2018;17
21/05/2018;19
22/05/2018;8
23/05/2018;5
24/05/2018;24
25/05/2018;43
26/05/2018;43
27/05/2018;19
28/05/2018;12
29/05/2018;19
30/05/2018;12
31/05/2018;14
01/06/2018;38
03/06/2018;18
04/06/2018;12
05/06/2018;10
06/06/2018;9
07/06/2018;7
08/06/2018;43
09/06/2018;35
10/06/2018;16
11/06/2018;15
12/06/2018;11
13/06/2018;19
14/06/2018;5
15/06/2018;36
16/06/2018;36
17/06/2018;14
18/06/2018;15
19/06/2018;16
20/06/2018;10
21/06/2018;10
22/06/2018;31
23/06/2018;30
24/06/2018;13
25/06/2018;19
26/06/2018;15
27/06/2018;13
28/06/2018;9
29/06/2018;45
30/06/2018;36
01/07/2018;19
02/07/2018;15
03/07/2018;17
04/07/2018;13
05/07/2018;6
06/07/2018;35
07/07/2018;42
08/07/2018;19
09/07/2018;8
10/07/2018;5
11/07/2018;12
12/07/2018;16
13/07/2018;45
14/07/2018;44
15/07/2018;7
16/07/2018;20
17/07/2018;11
18/07/2018;5
19/07/2018;15
20/07/2018;44
21/07/2018;39
22/07/2018;8
23/07/2018;19
24/07/2018;13
25/07/2018;17
26/07/2018;18
27/07/2018;33
28/07/2018;32
29/07/2018;10
30/07/2018;17
31/07/2018;11
01/08/2018;14
02/08/2018;20
03/08/2018;45
04/08/2018;37
05/08/2018;17
06/08/2018;7
07/08/2018;12
08/08/2018;8
09/08/2018;6
10/08/2018;42
11/08/2018;44
12/08/2018;19
13/08/2018;5
14/08/2018;19
15/08/2018;10
16/08/2018;17
17/08/2018;39
18/08/2018;45
19/08/2018;13
20/08/2018;8
21/08/2018;17
22/08/2018;8
23/08/2018;6
24/08/2018;35
25/08/2018;39
26/08/2018;14
27/08/2018;13
28/08/2018;13
29/08/2018;10
30/08/2018;17
31/08/2018;36
01/09/2018;31
02/09/2018;10
03/09/2018;15
04/09/2018;10
05/09/2018;11
06/09/2018;17
07/09/2018;41
08/09/2018;34
09/09/2018;9
10/09/2018;11
11/09/2018;6
12/09/2018;9
13/09/2018;13
14/09/2018;42
15/09/2018;45
16/09/2018;18
17/09/2018;14
18/09/2018;12
19/09/2018;11
20/09/2018;16
21/09/2018;37
22/09/2018;38
23/09/2018;20
24/09/2018;11
25/09/2018;5
26/09/2018;6
27/09/2018;19
28/09/2018;30
29/09/2018;32
30/09/2018;17
01/10/2018;5
02/10/2018;11
03/10/2018;6
04/10/2018;5
05/10/2018;33
06/10/2018;42
07/10/2018;16
08/10/2018;15
09/10/2018;8
10/10/2018;6
11/10/2018;18
12/10/2018;36
13/10/2018;45
14/10/2018;16
15/10/2018;16
16/10/2018;9
17/10/2018;14
18/10/2018;16
19/10/2018;45
20/10/2018;32
21/10/2018;17
22/10/2018;9
23/10/2018;10
24/10/2018;5
25/10/2018;9
26/10/2018;36
27/10/2018;43
28/10/2018;20
29/10/2018;15
30/10/2018;18
31/10/2018;43
02/11/2018;42
03/11/2018;42
04/11/2018;13
05/11/2018;5
06/11/2018;13
07/11/2018;14
08/11/2018;15
09/11/2018;44
10/11/2018;30
11/11/2018;5
12/11/2018;11
13/11/2018;5
14/11/2018;6
15/11/2018;5
16/11/2018;39
17/11/2018;34
18/11/2018;6
19/11/2018;11
20/11/2018;9
21/11/2018;7
22/11/2018;6
23/11/2018;43
24/11/2018;45
25/11/2018;7
26/11/2018;19
27/11/2018;17
28/11/2018;5
29/11/2018;12
30/11/2018;35
01/12/2018;32
02/12/2018;17
03/12/2018;12
04/12/2018;15
05/12/2018;16
06/12/2018;12
07/12/2018;33
09/12/2018;37
10/12/2018;7
11/12/2018;16
12/12/2018;7
13/12/2018;8
14/12/2018;39
15/12/2018;41
16/12/2018;14
17/12/2018;11
18/12/2018;12
19/12/2018;10
20/12/2018;9
21/12/2018;32
22/12/2018;39
23/12/2018;10
24/12/2018;31
27/12/2018;45
28/12/2018;36
29/12/2018;38
30/12/2018;43
31/12/2018;184
02/01/2019;21
03/01/2019;17
04/01/2019;48
05/01/2019;25
07/01/2019;23
08/01/2019;22
09/01/2019;23
10/01/2019;15
11/01/2019;45
12/01/2019;50
13/01/2019;18
14/01/2019;20
15/01/2019;21
16/01/2019;22
17/01/2019;24
18/01/2019;49
19/01/2019;47
20/01/2019;24
21/01/2019;21
22/01/2019;19
23/01/2019;12
24/01/2019;25
25/01/2019;45
26/01/2019;41
27/01/2019;14
28/01/2019;15
29/01/2019;21
30/01/2019;18
31/01/2019;17
01/02/2019;36
02/02/2019;41
03/02/2019;25
04/02/2019;18
05/02/2019;21
06/02/2019;20
07/02/2019;14
08/02/2019;49
09/02/2019;37
10/02/2019;23
11/02/2019;25
12/02/2019;11
13/02/2019;17
14/02/2019;14
15/02/2019;45
16/02/2019;41
17/02/2019;17
18/02/2019;11
19/02/2019;16
20/02/2019;10
21/02/2019;24
22/02/2019;46
23/02/2019;37
24/02/2019;16
25/02/2019;15
26/02/2019;13
27/02/2019;13
28/02/2019;16
01/03/2019;50
02/03/2019;40
03/03/2019;14
04/03/2019;24
05/03/2019;24
06/03/2019;13
07/03/2019;23
08/03/2019;48
09/03/2019;37
10/03/2019;13
11/03/2019;18
12/03/2019;24
13/03/2019;15
14/03/2019;19
15/03/2019;50
16/03/2019;35
17/03/2019;17
18/03/2019;20
19/03/2019;21
20/03/2019;17
21/03/2019;23
22/03/2019;35
23/03/2019;46
24/03/2019;12
25/03/2019;25
26/03/2019;19
27/03/2019;13
28/03/2019;15
29/03/2019;23
30/03/2019;35
31/03/2019;36
01/04/2019;23
02/04/2019;11
03/04/2019;15
04/04/2019;19
05/04/2019;38
06/04/2019;45
07/04/2019;23
08/04/2019;14
09/04/2019;12
10/04/2019;20
11/04/2019;11
12/04/2019;49
13/04/2019;43
14/04/2019;11
15/04/2019;24
16/04/2019;24
17/04/2019;21
18/04/2019;23
19/04/2019;37
20/04/2019;49
24/04/2019;39
26/04/2019;41
27/04/2019;44
28/04/2019;18
29/04/2019;15
30/04/2019;39
02/05/2019;10
03/05/2019;37
04/05/2019;47
05/05/2019;12
06/05/2019;15
07/05/2019;10
08/05/2019;10
09/05/2019;18
10/05/2019;41
11/05/2019;35
12/05/2019;23
13/05/2019;16
14/05/2019;14
15/05/2019;22
16/05/2019;19
17/05/2019;38
18/05/2019;50
19/05/2019;16
20/05/2019;15
21/05/2019;16
22/05/2019;12
23/05/2019;10
24/05/2019;47
25/05/2019;35
26/05/2019;10
27/05/2019;13
28/05/2019;21
29/05/2019;21
30/05/2019;11
31/05/2019;47
01/06/2019;42
03/06/2019;10
04/06/2019;11
05/06/2019;24
06/06/2019;20
07/06/2019;40
08/06/2019;50
09/06/2019;12
10/06/2019;20
11/06/2019;26
12/06/2019;26
13/06/2019;28
14/06/2019;35
15/06/2019;37
16/06/2019;20
17/06/2019;28
18/06/2019;29
19/06/2019;30
20/06/2019;28
21/06/2019;48
22/06/2019;41
23/06/2019;20
24/06/2019;21
25/06/2019;25
26/06/2019;35
27/06/2019;30
28/06/2019;47
29/06/2019;44
30/06/2019;31
01/07/2019;28
02/07/2019;21
03/07/2019;21
04/07/2019;32
05/07/2019;44
06/07/2019;43
07/07/2019;20
08/07/2019;30
09/07/2019;30
10/07/2019;21
11/07/2019;28
12/07/2019;38
13/07/2019;41
14/07/2019;28
15/07/2019;33
16/07/2019;21
17/07/2019;20
18/07/2019;26
19/07/2019;47
20/07/2019;46
21/07/2019;33
22/07/2019;21
23/07/2019;33
24/07/2019;28
25/07/2019;35
26/07/2019;45
27/07/2019;35
28/07/2019;32
29/07/2019;29
30/07/2019;21
31/07/2019;24
01/08/2019;23
02/08/2019;35
03/08/2019;41
04/08/2019;30
05/08/2019;33
06/08/2019;23
07/08/2019;28
08/08/2019;29
09/08/2019;40
10/08/2019;37
11/08/2019;26
12/08/2019;24
13/08/2019;27
14/08/2019;23
15/08/2019;30
16/08/2019;47
17/08/2019;49
18/08/2019;21
19/08/2019;28
20/08/2019;21
21/08/2019;22
22/08/2019;26
23/08/2019;39
24/08/2019;50
25/08/2019;30
26/08/2019;24
27/08/2019;31
28/08/2019;25
29/08/2019;25
30/08/2019;50
31/08/2019;48
01/09/2019;21
02/09/2019;20
03/09/2019;22
04/09/2019;33
05/09/2019;24
06/09/2019;45
07/09/2019;39
08/09/2019;23
09/09/2019;12
10/09/2019;22
11/09/2019;23
12/09/2019;25
13/09/2019;50
14/09/2019;50
15/09/2019;14
16/09/2019;20
17/09/2019;22
18/09/2019;13
19/09/2019;11
20/09/2019;35
21/09/2019;48
22/09/2019;11
23/09/2019;22
24/09/2019;18
25/09/2019;21
26/09/2019;25
27/09/2019;41
28/09/2019;48
29/09/2019;18
30/09/2019;24
01/10/2019;18
02/10/2019;23
03/10/2019;17
04/10/2019;50
05/10/2019;49
06/10/2019;12
07/10/2019;10
08/10/2019;24
09/10/2019;10
10/10/2019;21
11/10/2019;36
12/10/2019;41
13/10/2019;17
14/10/2019;25
15/10/2019;18
16/10/2019;12
17/10/2019;10
18/10/2019;39
19/10/2019;48
20/10/2019;14
21/10/2019;17
22/10/2019;24
23/10/2019;12
24/10/2019;12
25/10/2019;47
26/10/2019;47
27/10/2019;20
28/10/2019;19
29/10/2019;23
30/10/2019;18
31/10/2019;39
02/11/2019;35
03/11/2019;13
04/11/2019;22
05/11/2019;18
06/11/2019;19
07/11/2019;24
08/11/2019;38
09/11/2019;40
10/11/2019;16
11/11/2019;22
12/11/2019;23
13/11/2019;16
14/11/2019;16
15/11/2019;48
16/11/2019;50
17/11/2019;21
18/11/2019;10
19/11/2019;23
20/11/2019;24
21/11/2019;10
22/11/2019;48
23/11/2019;37
24/11/2019;21
25/11/2019;10
26/11/2019;21
27/11/2019;11
28/11/2019;20
29/11/2019;47
30/11/2019;41
01/12/2019;19
02/12/2019;12
03/12/2019;22
04/12/2019;14
05/12/2019;15
06/12/2019;44
07/12/2019;39
09/12/2019;24
10/12/2019;24
11/12/2019;21
12/12/2019;15
13/12/2019;39
14/12/2019;37
15/12/2019;12
16/12/2019;12
17/12/2019;25
18/12/2019;16
19/12/2019;17
20/12/2019;39
21/12/2019;45
22/12/2019;24
23/12/2019;15
24/12/2019;44
27/12/2019;40
28/12/2019;45
29/12/2019;39
30/12/2019;47
31/12/2019;203
02/01/2020;19
03/01/2020;42
04/01/2020;43
05/01/2020;44
07/01/2020;28
08/01/2020;15
09/01/2020;25
10/01/2020;43
11/01/2020;41
12/01/2020;21
13/01/2020;15
14/01/2020;19
15/01/2020;17
16/01/2020;18
17/01/2020;45
18/01/2020;42
19/01/2020;20
20/01/2020;29
21/01/2020;25
22/01/2020;21
23/01/2020;19
24/01/2020;43
25/01/2020;40
26/01/2020;22
27/01/2020;25
28/01/2020;21
29/01/2020;30
30/01/2020;17
31/01/2020;45
01/02/2020;42
02/02/2020;25
03/02/2020;16
04/02/2020;15
05/02/2020;25
06/02/2020;15
07/02/2020;40
08/02/2020;45
09/02/2020;23
10/02/2020;26
11/02/2020;27
12/02/2020;28
13/02/2020;22
14/02/2020;45
15/02/2020;40
16/02/2020;17
17/02/2020;17
18/02/2020;19
19/02/2020;17
20/02/2020;23
21/02/2020;43
22/02/2020;44
23/02/2020;24
24/02/2020;30
25/02/2020;24
26/02/2020;26
27/02/2020;24
28/02/2020;43
29/02/2020;42
01/03/2020;30
02/03/2020;24
03/03/2020;25
04/03/2020;21
05/03/2020;19
06/03/2020;40
07/03/2020;43
08/03/2020;18
09/03/2020;18
10/03/2020;22
11/03/2020;23
12/03/2020;17
13/03/2020;40
14/03/2020;45
15/03/2020;15
16/03/2020;30
17/03/2020;29
18/03/2020;23
19/03/2020;17
20/03/2020;42
21/03/2020;45
22/03/2020;19
23/03/2020;15
24/03/2020;18
25/03/2020;27
26/03/2020;22
27/03/2020;40
28/03/2020;44
29/03/2020;19
30/03/2020;20
31/03/2020;25
01/04/2020;30
02/04/2020;29
03/04/2020;44
04/04/2020;40
05/04/2020;16
06/04/2020;29
07/04/2020;19
08/04/2020;21
09/04/2020;28
10/04/2020;40
11/04/2020;44
14/04/2020;22
15/04/2020;24
16/04/2020;27
17/04/2020;43
18/04/2020;45
19/04/2020;26
20/04/2020;25
21/04/2020;15
22/04/2020;41
24/04/2020;42
26/04/2020;23
27/04/2020;17
28/04/2020;27
29/04/2020;30
30/04/2020;42
02/05/2020;43
03/05/2020;20
04/05/2020;20
05/05/2020;30
06/05/2020;21
07/05/2020;26
08/05/2020;44
09/05/2020;45
10/05/2020;25
11/05/2020;27
12/05/2020;28
13/05/2020;18
14/05/2020;15
15/05/2020;42
16/05/2020;41
17/05/2020;15
18/05/2020;26
19/05/2020;16
20/05/2020;24
21/05/2020;24
22/05/2020;44
23/05/2020;40
24/05/2020;30
25/05/2020;24
26/05/2020;23
27/05/2020;21
28/05/2020;29
29/05/2020;44
30/05/2020;45
31/05/2020;26
01/06/2020;40
03/06/2020;15
04/06/2020;15
05/06/2020;42
06/06/2020;44
07/06/2020;24
08/06/2020;25
09/06/2020;15
10/06/2020;37
11/06/2020;39
12/06/2020;43
13/06/2020;43
14/06/2020;30
15/06/2020;27
16/06/2020;40
17/06/2020;31
18/06/2020;40
19/06/2020;44
20/06/2020;40
21/06/2020;29
22/06/2020;38
23/06/2020;35
24/06/2020;37
25/06/2020;29
26/06/2020;44
27/06/2020;45
28/06/2020;32
29/06/2020;34
30/06/2020;30
01/07/2020;31
02/07/2020;28
03/07/2020;45
04/07/2020;41
05/07/2020;39
06/07/2020;37
07/07/2020;32
08/07/2020;35
09/07/2020;39
10/07/2020;45
11/07/2020;45
12/07/2020;39
13/07/2020;36
14/07/2020;25
15/07/2020;36
16/07/2020;38
17/07/2020;40
18/07/2020;44
19/07/2020;28
20/07/2020;35
21/07/2020;39
22/07/2020;26
23/07/2020;38
24/07/2020;42
25/07/2020;40
26/07/2020;35
27/07/2020;34
28/07/2020;39
29/07/2020;39
30/07/2020;25
31/07/2020;44
01/08/2020;42
02/08/2020;34
03/08/2020;37
04/08/2020;29
05/08/2020;26
06/08/2020;32
07/08/2020;40
08/08/2020;42
09/08/2020;34
10/08/2020;32
11/08/2020;35
12/08/2020;34
13/08/2020;31
14/08/2020;42
15/08/2020;43
16/08/2020;38
17/08/2020;27
18/08/2020;34
19/08/2020;34
20/08/2020;26
21/08/2020;42
22/08/2020;44
23/08/2020;30
24/08/2020;37
25/08/2020;29
26/08/2020;27
27/08/2020;30
28/08/2020;43
29/08/2020;43
30/08/2020;25
31/08/2020;30
01/09/2020;35
02/09/2020;32
03/09/2020;32
04/09/2020;43
05/09/2020;43
06/09/2020;23
07/09/2020;26
08/09/2020;19
09/09/2020;20
10/09/2020;28
11/09/2020;42
12/09/2020;42
13/09/2020;15
14/09/2020;26
15/09/2020;29
16/09/2020;17
17/09/2020;23
18/09/2020;44
19/09/2020;43
20/09/2020;18
21/09/2020;22
22/09/2020;25
23/09/2020;17
24/09/2020;18
25/09/2020;42
26/09/2020;44
27/09/2020;20
28/09/2020;24
29/09/2020;16
30/09/2020;15
01/10/2020;17
02/10/2020;41
03/10/2020;45
04/10/2020;24
05/10/2020;29
06/10/2020;24
07/10/2020;20
08/10/2020;30
09/10/2020;41
10/10/2020;42
11/10/2020;17
12/10/2020;20
13/10/2020;15
14/10/2020;30
15/10/2020;27
16/10/2020;45
17/10/2020;43
18/10/2020;16
19/10/2020;15
20/10/2020;17
21/10/2020;28
22/10/2020;22
23/10/2020;45
24/10/2020;45
25/10/2020;25
26/10/2020;29
27/10/2020;27
28/10/2020;18
29/10/2020;19
30/10/2020;40
31/10/2020;41
02/11/2020;16
03/11/2020;26
04/11/2020;17
05/11/2020;21
06/11/2020;45
07/11/2020;41
08/11/2020;18
09/11/2020;28
10/11/2020;25
11/11/2020;18
12/11/2020;30
13/11/2020;43
14/11/2020;45
15/11/2020;15
16/11/2020;21
17/11/2020;21
18/11/2020;18
19/11/2020;20
20/11/2020;42
21/11/2020;41
22/11/2020;27
23/11/2020;28
24/11/2020;24
25/11/2020;28
26/11/2020;17
27/11/2020;43
28/11/2020;44
29/11/2020;30
30/11/2020;25
01/12/2020;30
02/12/2020;20
03/12/2020;16
04/12/2020;41
05/12/2020;43
06/12/2020;23
07/12/2020;41
09/12/2020;26
10/12/2020;18
11/12/2020;45
12/12/2020;45
13/12/2020;16
14/12/2020;24
15/12/2020;26
16/12/2020;29
17/12/2020;19
18/12/2020;43
19/12/2020;43
20/12/2020;17
21/12/2020;16
22/12/2020;22
23/12/2020;22
24/12/2020;40
27/12/2020;43
28/12/2020;40
29/12/2020;42
30/12/2020;41
31/12/2020;266
